"","Financials","Real.Estate","Health.Care","Basic.Materials","Telecommunications","Technology","Consumer.Discretionary","Consumer.Staples","Industrials","Energy","Utilities"
"1","X000001.CH.Equity","X000002.CH.Equity","X000020.KS.Equity","X000050.KS.Equity","X000063.CH.Equity","X000066.CH.Equity","X000069.CH.Equity","X000070.KS.Equity","X000120.KS.Equity","X002202.CH.Equity","X004690.KS.Equity"
"2","X000060.KS.Equity","X001979.CH.Equity","X000220.KS.Equity","X000301.CH.Equity","X002475.CH.Equity","X000100.CH.Equity","X000240.KS.Equity","X000080.KS.Equity","X000157.CH.Equity","X002459.CH.Equity","X1038.HK.Equity"
"3","X000166.CH.Equity","X101.HK.Equity","X000230.KS.Equity","X000590.KS.Equity","X005110.KS.Equity","X000660.KS.Equity","X000270.KS.Equity","X000140.KS.Equity","X000180.KS.Equity","X002960.KS.Equity","X2.HK.Equity"
"4","X000370.KS.Equity","X1109.HK.Equity","X000520.KS.Equity","X000670.KS.Equity","X005870.KS.Equity","X000725.CH.Equity","X000300.KS.Equity","X000568.CH.Equity","X000210.KS.Equity","X003580.KS.Equity","X2688.HK.Equity"
"5","X000400.KS.Equity","X1113.HK.Equity","X000538.CH.Equity","X000703.CH.Equity","X1810.HK.Equity","X000938.CH.Equity","X000333.CH.Equity","X000596.CH.Equity","X000320.KS.Equity","X1605.JT.Equity","X3.HK.Equity"
"6","X000540.KS.Equity","X12.HK.Equity","X000640.KS.Equity","X000708.CH.Equity","X300628.CH.Equity","X000977.CH.Equity","X000430.KS.Equity","X000858.CH.Equity","X000338.CH.Equity","X300274.CH.Equity","X6.HK.Equity"
"7","X000776.CH.Equity","X16.HK.Equity","X000661.CH.Equity","X000760.KS.Equity","X600050.CH.Equity","X000990.KS.Equity","X000625.CH.Equity","X000876.CH.Equity","X000390.KS.Equity","X386.HK.Equity","X600011.CH.Equity"
"8","X000783.CH.Equity","X17.HK.Equity","X000963.CH.Equity","X000950.KS.Equity","X601138.CH.Equity","X002008.CH.Equity","X000650.KS.Equity","X000890.KS.Equity","X000425.CH.Equity","X5019.JT.Equity","X600025.CH.Equity"
"9","X000810.KS.Equity","X1997.HK.Equity","X001060.KS.Equity","X000970.KS.Equity","X762.HK.Equity","X002027.CH.Equity","X000651.CH.Equity","X000895.CH.Equity","X000480.KS.Equity","X5020.JT.Equity","X600795.CH.Equity"
"10","X001200.KS.Equity","X2007.HK.Equity","X001360.KS.Equity","X001070.KS.Equity","X941.HK.Equity","X002049.CH.Equity","X000680.KS.Equity","X001130.KS.Equity","X000490.KS.Equity","X600028.CH.Equity","X600886.CH.Equity"
"11","X001270.KS.Equity","X3289.JT.Equity","X001630.KS.Equity","X001230.KS.Equity","X9432.JT.Equity","X002129.CH.Equity","X000800.CH.Equity","X001680.KS.Equity","X000500.KS.Equity","X601088.CH.Equity","X600900.CH.Equity"
"12","X001290.KS.Equity","X600048.CH.Equity","X002007.CH.Equity","X001340.KS.Equity","X9433.JT.Equity","X002230.CH.Equity","X001420.KS.Equity","X001790.KS.Equity","X000700.KS.Equity","X601225.CH.Equity","X9501.JT.Equity"
"13","X001450.KS.Equity","X600383.CH.Equity","X002044.CH.Equity","X001380.KS.Equity","X9434.JT.Equity","X002371.CH.Equity","X001460.KS.Equity","X001800.KS.Equity","X000720.KS.Equity","X601808.CH.Equity","X9502.JT.Equity"
"14","X001500.KS.Equity","X600606.CH.Equity","X002210.KS.Equity","X001390.KS.Equity","X9984.JT.Equity","X002410.CH.Equity","X001620.KS.Equity","X002001.CH.Equity","X000768.CH.Equity","X601857.CH.Equity","X9503.JT.Equity"
"15","X001510.KS.Equity","X600848.CH.Equity","X002252.CH.Equity","X001430.KS.Equity","AMXL.MF.Equity","X002414.CH.Equity","X002024.CH.Equity","X002140.KS.Equity","X000786.CH.Equity","X857.HK.Equity","X9531.JT.Equity"
"16","X001720.KS.Equity","X601155.CH.Equity","X002390.KS.Equity","X001530.KS.Equity","ANET.UN.Equity","X002415.CH.Equity","X002032.CH.Equity","X002157.CH.Equity","X000850.KS.Equity","X883.HK.Equity","X9532.JT.Equity"
"17","X001750.KS.Equity","X6098.HK.Equity","X002620.KS.Equity","X001550.KS.Equity","BCE.CT.Equity","X002600.CH.Equity","X002170.KS.Equity","X002270.KS.Equity","X000860.KS.Equity","X968.HK.Equity","A2A.IM.Equity"
"18","X002142.CH.Equity","X688.HK.Equity","X002720.KS.Equity","X001570.KS.Equity","BHARTI.IS.Equity","X002841.CH.Equity","X002241.CH.Equity","X002304.CH.Equity","X000880.KS.Equity","AAV.CT.Equity","ACO.X.CT.Equity"
"19","X002736.CH.Equity","X823.HK.Equity","X002821.CH.Equity","X001940.KS.Equity","BHIT.IJ.Equity","X002916.CH.Equity","X002350.KS.Equity","X002311.CH.Equity","X000910.KS.Equity","ADRO.IJ.Equity","AEE.UN.Equity"
"20","X003470.KS.Equity","X8801.JT.Equity","X003000.KS.Equity","X002020.KS.Equity","BLU.SJ.Equity","X002938.CH.Equity","X002420.KS.Equity","X002600.KS.Equity","X001040.KS.Equity","AKRA.IJ.Equity","AES.UN.Equity"
"21","X003530.KS.Equity","X8802.JT.Equity","X003060.KS.Equity","X002064.CH.Equity","BT.A.LN.Equity","X003160.KS.Equity","X002450.KS.Equity","X002714.CH.Equity","X001080.KS.Equity","ALD.AT.Equity","AGL.AT.Equity"
"22","X003540.KS.Equity","X8804.JT.Equity","X003090.KS.Equity","X002100.KS.Equity","CCA.CT.Equity","X004380.KS.Equity","X002555.CH.Equity","X002760.KS.Equity","X001120.KS.Equity","ALDREES.AB.Equity","AKSEN.TI.Equity"
