"","Banks","Real.Estate","Health.Care","Basic.Resources","Insurance","Telecommunications","Technology","Travel.and.Leisure","Food.Beverage.and.Tobacco","Industrial.Goods.and.Services","Financial.Services","Construction.and.Materials","Automobiles.and.Parts","Consumer.Products.and.Services","Chemicals","Retail","Energy","Media","Utilities","Personal.Care.Drug.and.Grocery.Stores"
"1","X000001.CH.Equity","X000002.CH.Equity","X000020.KS.Equity","X000050.KS.Equity","X000060.KS.Equity","X000063.CH.Equity","X000066.CH.Equity","X000069.CH.Equity","X000070.KS.Equity","X000120.KS.Equity","X000166.CH.Equity","X000180.KS.Equity","X000240.KS.Equity","X000333.CH.Equity","X000703.CH.Equity","X002024.CH.Equity","X002202.CH.Equity","X002420.KS.Equity","X004690.KS.Equity","X005360.KS.Equity"
"2","X002142.CH.Equity","X001979.CH.Equity","X000220.KS.Equity","X000301.CH.Equity","X000370.KS.Equity","X002475.CH.Equity","X000100.CH.Equity","X000650.KS.Equity","X000080.KS.Equity","X000157.CH.Equity","X000776.CH.Equity","X000210.KS.Equity","X000270.KS.Equity","X000651.CH.Equity","X000760.KS.Equity","X004170.KS.Equity","X002459.CH.Equity","X002624.CH.Equity","X1038.HK.Equity","X1044.HK.Equity"
"3","X11.HK.Equity","X101.HK.Equity","X000230.KS.Equity","X000590.KS.Equity","X000400.KS.Equity","X005110.KS.Equity","X000660.KS.Equity","X003490.KS.Equity","X000140.KS.Equity","X000320.KS.Equity","X000783.CH.Equity","X000720.KS.Equity","X000300.KS.Equity","X000680.KS.Equity","X001340.KS.Equity","X005440.KS.Equity","X002960.KS.Equity","X003560.KS.Equity","X2.HK.Equity","X241.HK.Equity"
"4","X1398.HK.Equity","X1109.HK.Equity","X000520.KS.Equity","X000670.KS.Equity","X000540.KS.Equity","X005870.KS.Equity","X000725.CH.Equity","X1928.HK.Equity","X000568.CH.Equity","X000338.CH.Equity","X001200.KS.Equity","X000786.CH.Equity","X000430.KS.Equity","X001460.KS.Equity","X001390.KS.Equity","X300413.CH.Equity","X003580.KS.Equity","X4324.JT.Equity","X2688.HK.Equity","X300014.CH.Equity"
"5","X2388.HK.Equity","X1113.HK.Equity","X000538.CH.Equity","X000708.CH.Equity","X000810.KS.Equity","X1810.HK.Equity","X000938.CH.Equity","X27.HK.Equity","X000596.CH.Equity","X000390.KS.Equity","X001270.KS.Equity","X000910.KS.Equity","X000625.CH.Equity","X002032.CH.Equity","X001550.KS.Equity","X3086.JT.Equity","X1605.JT.Equity","X9602.JT.Equity","X3.HK.Equity","X4452.JT.Equity"
"6","X3968.HK.Equity","X12.HK.Equity","X000640.KS.Equity","X000950.KS.Equity","X001450.KS.Equity","X300628.CH.Equity","X000977.CH.Equity","X300144.CH.Equity","X000858.CH.Equity","X000425.CH.Equity","X001290.KS.Equity","X001260.KS.Equity","X000800.CH.Equity","X002170.KS.Equity","X001570.KS.Equity","X3099.JT.Equity","X300274.CH.Equity","BMTR.IJ.Equity","X6.HK.Equity","X8267.JT.Equity"
"7","X3988.HK.Equity","X16.HK.Equity","X000661.CH.Equity","X000970.KS.Equity","X003690.KS.Equity","X600050.CH.Equity","X000990.KS.Equity","X600029.CH.Equity","X000876.CH.Equity","X000480.KS.Equity","X001500.KS.Equity","X001520.KS.Equity","X001420.KS.Equity","X002241.CH.Equity","X002020.KS.Equity","X3382.JT.Equity","X386.HK.Equity","CAR.AT.Equity","X600011.CH.Equity","ABC.UN.Equity"
"8","X5.HK.Equity","X17.HK.Equity","X000963.CH.Equity","X001070.KS.Equity","X005830.KS.Equity","X601138.CH.Equity","X002008.CH.Equity","X600115.CH.Equity","X000890.KS.Equity","X000490.KS.Equity","X001510.KS.Equity","X001880.KS.Equity","X001620.KS.Equity","X002450.KS.Equity","X002064.CH.Equity","X600655.CH.Equity","X5019.JT.Equity","CJR.B.CT.Equity","X600025.CH.Equity","ADESE.TI.Equity"
"9","X600000.CH.Equity","X1997.HK.Equity","X001060.KS.Equity","X001230.KS.Equity","X1299.HK.Equity","X762.HK.Equity","X002027.CH.Equity","X601021.CH.Equity","X000895.CH.Equity","X000500.KS.Equity","X001720.KS.Equity","X002030.KS.Equity","X002350.KS.Equity","X002607.CH.Equity","X002100.KS.Equity","X601888.CH.Equity","X5020.JT.Equity","DIS.UN.Equity","X600795.CH.Equity","AMRT.IJ.Equity"
"10","X600015.CH.Equity","X2007.HK.Equity","X001360.KS.Equity","X001380.KS.Equity","X2318.HK.Equity","X941.HK.Equity","X002049.CH.Equity","X601111.CH.Equity","X001130.KS.Equity","X000700.KS.Equity","X001750.KS.Equity","X002150.KS.Equity","X002555.CH.Equity","X002700.KS.Equity","X002360.KS.Equity","X8233.JT.Equity","X600028.CH.Equity","DISCA.UW.Equity","X600886.CH.Equity","AOTHAIM.AB.Equity"
